MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH,ABOUT,ACCOUNT,ACTIONID,ACTOR,ALLOW_REVISIONS,AVGPRICE,C2CFORWARD,CLIENTLISTID,CLIENTSENDINGTIME,CLIENT_RULE80A,CLIENT_SYMBOL,CLORDID,CONTRABROKER,CONTRACLIENTID,CUSTOMERORIGINATED,DESKID,DESTINATION_CATEGORY,DESTINATION_NAME,EXECBROKER,EXECID,EXECREFID,EXPERT_AGGR_IN_THE_MONEY,EXPERT_FADE_LOGIC,EXPERT_ID,EXPERT_IWOULD_PRICE_ALLOCATION,EXPERT_IWOULD_PRICE_ALLOCATION_TYPE,GOBLINQUEUEID,INFOTYPE,INTERNALORIGINATOR,LASTMKT,LASTMSGSEQNUMPROCESSED,LASTPRICE,LASTSHARES,LIQUIDITY,LISTID,LISTNAME,L_ROOTORDERID,MIN_PARTICIPATION_RATE,MSGSEQNUM,MUST_COMPLETE,NUMROOTS,NUM_PARENTS,ONBEHALFOFTARGET,ORDSTATUS,ORIGCLORDID,ORIGSENDINGTIME,PARENTID,PARENTSHARES,QUOTE_BIDPRICE*,QUOTE_LASTPRICE*,QUOTE_LULD_DOWN_PRICE*,QUOTE_LULD_UP_PRICE*,QUOTE_OFFERPRICE*,QUOTE_TICKDIRECTION*,REFORDERID,REGION,REPORTABLE,REPORT_STATUS,ROOTORDERID,RULE80A,SCHEDULE_DISCRETION,SECONDARYORDERID,SENDERCOMPID,SENDERTARGET,SERVERMESSAGE,SESSION_NUM*,SNP_DOLLAR_VOLUME,SNP_DOLLAR_VOLUME_OE,SNP_LAST_TRADE_PRICE,SNP_LAST_TRADE_SIZE,SNP_LOW,SNP_ORDER_BOOK_DOLLAR_VOLUME,SNP_ORDER_BOOK_TRADE_COUNT,SNP_ORDER_BOOK_VOLUME,SNP_PRIM_DOLLAR_VOLUME,SNP_PRIM_LAST_TRADE_PRICE,SNP_PRIM_ORDER_BOOK_DOLLAR_VOLUME,SNP_PRIM_ORDER_BOOK_VOLUME,SNP_PRIM_VOLUME,SNP_TRADE_COUNT,SNP_VOLUME,TARGETCOMPID,TICKS_AGGRESSIVE,TOEXECORDERID,TRACKING_DISCRETION,TRADEREPORTREFID,TRANSACTIONID,WAVE_STRATEGY,BUYSIDE_LIQUIDITY,CAPLIMIT_VALIDATION_ID,DURATION,EXPERT_FROM_INTERNAL_TICKET,EXPERT_IWOULD_QTY_TYPE,LISTBEGIN,LOWER_LIMIT_TYPE,PCT_VOLUME,RAW_LIQUIDITY,REFERENCE_PRICE,ROUTESTRATEGY,SNP_INDEX1,TARGET_PARTICIPATION_RATE,TEXT,TIME_BASIS
"ROUTE_ORDER","2150916000034628","2015-09-17 07:46:57.639 LON","TB92","BIOB.I","Sell","17190","0.00","E-PARTEU","","","0.00","1970-01-01 01:00:00.000 LON","1970-01-01 01:00:00.000 LON","NORMAL","Y","0.00","","","","","","270.00","279.00","","","","","","","0.00","","100.00","","","","ALL","","0.00","N","","","0","0","0","0.00","100","200","0.00","","15084H1","A3Eg2P:rb","XJ37","Y","","","B3Eg2P:rc","2015-09-17 07:46:57.636 LON","A","BIOB.I","B3Eg2P:rd","","","N","HA35","Experts EU Internal","PART EU","","","","","","","100.00","PERCENT","","","QuickWave - Volume Participation","","","","","","2150916000034628","Instinet Europe - Europe Executions [xj37.raffaele.ingrao] @ 09/17/15 07:46:49","","","4797","","1","1","","","","","2150916000018958","17190","","","","","","","","","","","1150916000000085","A","","","lpc05:8072:orderport","ORDPORT","","7355837","0.00","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0","0","DKHA35","","","","","B3Eg2P:rd","Volume Participation","","HA35","0","Y","PERCENT","","None","","","0.00","MIN_P50_P100","0.00","12.00","","NONE"
"ROUTE_INFO","2150916000034628","2015-09-17 07:46:57.723 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29168","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7355856","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_ORDER_ACK","2150916000034628","2015-09-17 07:46:57.725 LON","TB92","","","","","","","","","","","","","","","","","","","","","","","","","2015-09-17 07:46:57.725 LON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","144244800342342","","","","","","","","","","","","","","","29169","","","","DKHA35","0","","","","","","","","","","","","","","","","","","144244800342336","E7.Expert","","","7355857","","","","","","","","","","","","","","","","E7.Expert","","2150916000034628","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:46:57.725 LON","","","","","","","","Y","0.00","2015-09-17 07:50:00.000 LON","2015-09-17 17:00:00.000 LON","NORMAL","Y","0.00","","","","","","","","","","","","","","0.00","","100.00","","Y","0","","","0.00","N","5","5","","","","","","","","ExpertOptions","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29170","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","NORMAL","","E7.Expert","","","7355859","","","","","","","","","","","","","","","","E7.Expert","5","","NORMAL","","","","","","","","","","","12.00","","","","","12.00","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:47:32.650 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29359","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7362200","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:48:02.726 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29506","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7368127","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:48:42.726 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29697","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7373883","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:49:22.725 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","29893","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7378286","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:50:02.651 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","30092","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7388392","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:50:42.726 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","30581","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7398546","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:51:22.725 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","31094","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7408732","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:52:02.649 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","31440","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7414528","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:52:32.651 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","31640","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7418388","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:53:02.726 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","31900","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7424459","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:53:42.725 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","32197","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7429299","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:54:22.725 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","32526","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7451354","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:55:02.649 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","32847","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7458101","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:55:42.725 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","33293","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7469563","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:56:22.724 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:INAucType:NA ValidQuote:Y Cons:Y","","","","","PART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","33671","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7477618","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916000034628","2015-09-17 07:57:02.648 LON","","","","","","","","","","","","","","","","","","","","","","","E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B3Eg2P:rd","","","","","","","","","","","","","","","","O","","","","","","","","","","","34103","","","","DKHA35","","B3Eg2P:rd","","","","","","","","","","","","","","","","","","E7.Expert","","","7486555","","","","","","","","","","","","","","","","E7.Expert","","","","","","","","","","","","","","","","","","","","",""
